ticker,date,time,open,high,low,close,vol
XAUUSD,20220608,030000,1847.6,1847.6,1847.3,1847.3,4
XAUUSD,20220608,030100,1847.2,1847.2,1846.9,1847.1,4
XAUUSD,20220608,030200,1847.2,1847.3,1847.2,1847.2,4
XAUUSD,20220608,030300,1847.3,1847.3,1847.1,1847.2,4
XAUUSD,20220608,030400,1847.1,1847.2,1847.1,1847.2,4
XAUUSD,20220608,030500,1847.3,1847.3,1847,1847.2,4
XAUUSD,20220608,030600,1847.1,1847.1,1846.9,1846.9,4
XAUUSD,20220608,030700,1846.8,1846.9,1846.7,1846.9,4
XAUUSD,20220608,030800,1847,1847,1846.8,1846.9,4
XAUUSD,20220608,030900,1847,1847.1,1847,1847.1,4
XAUUSD,20220608,031000,1847,1847.2,1847,1847.2,4
XAUUSD,20220608,031100,1847.3,1847.6,1847.3,1847.6,4
XAUUSD,20220608,031200,1847.5,1847.6,1847.3,1847.5,4
XAUUSD,20220608,031300,1847.6,1847.6,1847.4,1847.4,4
XAUUSD,20220608,031400,1847.4,1847.4,1847.3,1847.3,4
XAUUSD,20220608,031500,1847.2,1847.2,1847.1,1847.1,4
XAUUSD,20220608,031600,1847.1,1847.4,1847,1847.4,4
XAUUSD,20220608,031700,1847.5,1847.6,1847.5,1847.6,4
XAUUSD,20220608,031800,1847.7,1847.7,1847.7,1847.7,4
XAUUSD,20220608,031900,1847.7,1847.7,1847.6,1847.6,4
XAUUSD,20220608,032000,1847.6,1847.6,1847.5,1847.5,4
XAUUSD,20220608,032100,1847.5,1847.5,1847.5,1847.5,4
XAUUSD,20220608,032200,1847.6,1847.9,1847.6,1847.9,4
XAUUSD,20220608,032300,1847.8,1847.9,1847.7,1847.7,4
XAUUSD,20220608,032400,1847.7,1847.7,1847.7,1847.7,4
XAUUSD,20220608,032500,1847.8,1847.9,1847.8,1847.8,4
XAUUSD,20220608,032600,1847.7,1847.7,1847.6,1847.6,4
XAUUSD,20220608,032700,1847.6,1847.6,1847.2,1847.2,4
XAUUSD,20220608,032800,1847.1,1847.2,1847.1,1847.1,4
XAUUSD,20220608,032900,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,033000,1847.2,1847.2,1847.2,1847.2,4
XAUUSD,20220608,033100,1847.3,1847.5,1847.2,1847.3,4
XAUUSD,20220608,033200,1847.4,1847.7,1847.4,1847.7,4
XAUUSD,20220608,033300,1847.8,1847.9,1847.7,1847.9,4
XAUUSD,20220608,033400,1847.8,1848.1,1847.8,1847.9,4
XAUUSD,20220608,033500,1847.8,1847.8,1847.5,1847.5,4
XAUUSD,20220608,033600,1847.6,1847.6,1847.4,1847.4,4
XAUUSD,20220608,033700,1847.5,1847.8,1847.5,1847.8,4
XAUUSD,20220608,033800,1847.9,1848.4,1847.9,1848.3,4
XAUUSD,20220608,033900,1848.2,1848.3,1848.2,1848.2,4
XAUUSD,20220608,034000,1848.3,1848.3,1848.3,1848.3,4
XAUUSD,20220608,034100,1848.3,1848.5,1848.3,1848.5,4
XAUUSD,20220608,034200,1848.4,1848.4,1848.3,1848.3,4
XAUUSD,20220608,034300,1848.2,1848.2,1847.7,1847.9,4
XAUUSD,20220608,034400,1847.9,1847.9,1847.9,1847.9,4
XAUUSD,20220608,034500,1848,1848,1847.6,1847.6,4
XAUUSD,20220608,034600,1847.7,1847.8,1847.7,1847.8,4
XAUUSD,20220608,034700,1847.7,1847.9,1847.7,1847.9,4
XAUUSD,20220608,034800,1847.8,1847.8,1847.8,1847.8,4
XAUUSD,20220608,034900,1847.7,1847.7,1847.5,1847.6,4
XAUUSD,20220608,035000,1847.7,1848.3,1847.7,1848.3,4
XAUUSD,20220608,035100,1848.2,1848.2,1848.1,1848.1,4
XAUUSD,20220608,035200,1848.1,1848.2,1848,1848.2,4
XAUUSD,20220608,035300,1848.1,1848.1,1848,1848.1,4
XAUUSD,20220608,035400,1848.2,1848.2,1848.2,1848.2,4
XAUUSD,20220608,035500,1848.1,1849,1848.1,1848.9,4
XAUUSD,20220608,035600,1849,1849.3,1849,1849.2,4
XAUUSD,20220608,035700,1849.1,1849.3,1849.1,1849.3,4
XAUUSD,20220608,035800,1849.2,1849.2,1849.2,1849.2,4
XAUUSD,20220608,035900,1849.1,1849.2,1849.1,1849.2,4
XAUUSD,20220608,040000,1849.3,1849.3,1849.3,1849.3,4
XAUUSD,20220608,040100,1849.2,1849.3,1849.1,1849.1,4
XAUUSD,20220608,040200,1849,1849.2,1849,1849.2,4
XAUUSD,20220608,040300,1849.3,1849.7,1849.3,1849.5,4
XAUUSD,20220608,040400,1849.6,1850,1849.6,1849.8,4
XAUUSD,20220608,040500,1849.9,1849.9,1849.7,1849.7,4
XAUUSD,20220608,040600,1849.8,1849.8,1849.3,1849.5,4
XAUUSD,20220608,040700,1849.4,1849.5,1849.3,1849.4,4
XAUUSD,20220608,040800,1849.5,1849.9,1849.5,1849.6,4
XAUUSD,20220608,040900,1849.7,1849.9,1849.6,1849.7,4
XAUUSD,20220608,041000,1849.8,1849.9,1849.7,1849.7,4
XAUUSD,20220608,041100,1849.6,1850,1849.6,1849.9,4
XAUUSD,20220608,041200,1850,1850,1849.6,1849.6,4
XAUUSD,20220608,041300,1849.7,1849.9,1849.7,1849.8,4
XAUUSD,20220608,041400,1849.9,1849.9,1849.6,1849.8,4
XAUUSD,20220608,041500,1849.7,1849.7,1849.6,1849.6,4
XAUUSD,20220608,041600,1849.5,1849.9,1849.5,1849.9,4
XAUUSD,20220608,041700,1850,1850.1,1849.6,1849.6,4
